Bar~0@0,Swing,4/4,A,140.0
Bar~126@504,Swing,4/4,A,140.0
Bass,48,504.0,0.750,76
Drums,44,504.0,0.25,73
Bass,43,505.0,1,68
Drums,44,505.0,0.25,77
Bass,40,506.0,1,67
Drums,44,506.0,0.25,71
Piano,52,506.0,1,74
Piano,55,506.0,1,74
Piano,60,506.0,1,78
Piano,67,506.0,1,71
Bass,37,507.0,1,66
Drums,44,507.0,0.25,74
