Bar~0@0,Swing,4/4,A,140.0
Drums,44,76.0,0.333,63
Bass,28,77.0,1,71
Drums,44,77.0,0.333,69
Piano,47,77.0,0.333,75
Piano,52,77.0,0.333,69
Piano,56,77.0,0.333,75
Piano,64,77.0,0.333,68
Piano,71,77.0,0.333,68
Piano,76,77.0,0.333,67
Bass,28,78.0,1,64
Drums,44,78.0,0.333,65
Piano,47,78.0,0.666,68
Piano,52,78.0,0.666,78
Piano,56,78.0,0.666,63
Piano,64,78.0,0.666,67
Piano,71,78.0,0.666,75
Piano,76,78.0,0.666,70
Bass,35,79.0,0.666,70
Drums,44,79.0,0.333,61
Bar~20@80,Swing,4/4,A,140.0
Bass,33,80.0,1,71
Drums,44,80.0,0.25,67
Piano,48,80.0,1,65
Piano,52,80.0,1,65
Piano,57,80.0,1,61
Piano,64,80.0,1,61
Piano,69,80.0,1,69
Piano,76,80.0,1,66
Bass,36,81.0,1,60
Drums,44,81.0,0.25,71
Bass,33,82.0,1,68
Drums,44,82.0,0.25,73
Bass,33,83.0,1,65
Drums,44,83.0,0.25,66
Bar~21@84,Swing,4/4,A,140.0
Bass,33,84.0,1,62
Drums,44,84.0,0.25,64
Bass,40,85.0,1,65
Drums,44,85.0,0.25,75
Piano,48,85.0,1,72
Piano,52,85.0,1,65
Piano,57,85.0,1,67
Piano,64,85.0,1,63
Piano,69,85.0,1,60
Piano,76,85.0,1,62
Bass,45,86.0,1,70
Drums,44,86.0,0.25,72
Piano,60,86.0,0.666,69
Piano,64,86.0,0.666,70
Piano,69,86.0,0.666,72
Piano,76,86.0,0.666,72
Bass,36,87.0,1,70
Drums,44,87.0,0.25,66
Bar~22@88,Swing,4/4,A,140.0
Bass,31,88.0,1,77
Drums,44,88.0,0.25,74
Piano,55,88.0,1,69
Piano,58,88.0,1,69
Piano,62,88.0,1,69
Piano,67,88.0,1,69
Bass,30,89.0,1,73
Drums,44,89.0,0.25,70
Bass,31,90.0,1,80
Drums,36,90.0,0.25,61
Drums,44,90.0,0.25,75
Bass,28,91.0,1,77
