kern2csv4playerString:  Bar~0@0, B, 4/4, A, 140
Piano, 76, 83.0, 1, 60
Bar~21@84, B, 4/4, A, 140
Bass, 45, 84.0, 1, 64
Drums, 36, 84.0, 1, 74
Piano, 60, 84.0, 1, 79
Piano, 64, 84.0, 1, 72
Piano, 69, 84.0, 1, 68
Piano, 76, 84.0, 1, 68
Drums, 44, 85.0, 1, 75
Piano, 48, 85.0, 1, 73
Piano, 52, 85.0, 1, 72
Piano, 57, 85.0, 1, 69
Piano, 64, 85.0, 1, 79
Piano, 69, 85.0, 1, 72
Piano, 76, 85.0, 1, 71
Bass, 33, 86.0, 1, 61
Drums, 36, 86.0, 1, 72
Drums, 44, 87.0, 1, 71
Bar~22@88, B, 4/4, A, 140
Bass, 31, 88.0, 1, 64
Drums, 36, 88.0, 1, 73
Drums, 44, 89.0, 1, 79
Piano, 58, 89.0, 1, 70
Piano, 62, 89.0, 1, 75
Piano, 67, 89.0, 1, 61
Piano, 74, 89.0, 1, 64
Bass, 38, 90.0, 1, 77
Drums, 36, 90.0, 1, 73
Piano, 58, 90.0, 1, 64
Piano, 62, 90.0, 1, 63
Piano, 67, 90.0, 1, 78
Piano, 74, 90.0, 1, 63
Bass, 36, 91.0, 1, 80
Drums, 44, 91.0, 1, 78
Bar~23@92, B, 4/4, A, 140
Bass, 36, 92.0, 1, 65
Drums, 36, 92.0, 1, 66
Drums, 44, 93.0, 1, 80
Bass, 36, 94.0, 1, 73
Drums, 36, 94.0, 1, 69
Drums, 44, 95.0, 1, 61
Bar~24@96, B, 4/4, A, 140
Bass, 41, 96.0, 1, 78
Drums, 36, 96.0, 1, 67
Drums, 44, 97.0, 1, 80
Bass, 29, 98.0, 1, 61
Drums, 36, 98.0, 1, 78
Drums, 44, 99.0, 1, 70
Bar~25@100, B, 4/4, A, 140
Bass, 38, 100.0, 1, 62
Drums, 36, 100.0, 1, 75
Drums, 44, 101.0, 1, 77
Bass, 38, 102.0, 1, 69
Drums, 36, 102.0, 1, 70
Drums, 44, 103.0, 1, 73
Bar~26@104, B, 4/4, A, 140
Bass, 33, 104.0, 1, 61
Drums, 36, 104.0, 1, 77
Drums, 44, 105.0, 1, 69
Piano, 60, 105.0, 1, 65
Piano, 64, 105.0, 1, 67
Piano, 69, 105.0, 1, 78
Piano, 76, 105.0, 1, 60
Bass, 45, 106.0, 1, 69
Drums, 36, 106.0, 1, 72
