kern2csv4playerString: Bar~0@0, Swing, 4/4, A, 140
Bass, 38, 345.0, 1, 62
Drums, 44, 345.0, 0.333, 74
Drums, 44, 345.666, 0.333, 61
Bass, 38, 346.0, 1, 75
Drums, 44, 346.0, 1, 71
Piano, 54, 346.0, 1, 74
Piano, 69, 346.0, 1, 80
Piano, 64, 346.0, 1, 69
Piano, 60, 346.0, 1, 76
Bass, 40, 347.0, 1, 69
Drums, 44, 347.0, 0.333, 69
Drums, 44, 347.666, 0.333, 63
Bar~87@348, Swing, 4/4, A, 140
Bass, 43, 348.0, 1, 77
Drums, 44, 348.0, 1, 60
Bass, 39, 349.0, 1, 69
Drums, 44, 349.0, 0.333, 80
Drums, 44, 349.666, 0.333, 64
Bass, 31, 350.0, 1, 60
Drums, 44, 350.0, 1, 65
Piano, 59, 350.0, 1, 76
Piano, 53, 350.0, 1, 66
Piano, 79, 350.0, 1, 75
Piano, 74, 350.0, 1, 69
Piano, 67, 350.0, 1, 67
Piano, 63, 350.0, 1, 70
Bass, 35, 351.0, 1, 77
Drums, 44, 351.0, 0.333, 62
Drums, 44, 351.666, 0.333, 66
Bar~88@352, Swing, 4/4, A, 140
Bass, 36, 352.0, 1, 73
Drums, 44, 352.0, 1, 72
Piano, 57, 352.0, 1, 63
Piano, 52, 352.0, 1, 78
Piano, 79, 352.0, 1, 69
Piano, 71, 352.0, 1, 61
Piano, 67, 352.0, 1, 66
Piano, 62, 352.0, 1, 72
Bass, 32, 353.0, 1, 76
Drums, 44, 353.0, 1, 77
Bass, 31, 354.0, 1, 62
Drums, 36, 354.0, 1, 69
Drums, 44, 354.0, 1, 73
Piano, 59, 354.0, 1, 64
Piano, 52, 354.0, 1, 76
Piano, 69, 354.0, 1, 79
Piano, 62, 354.0, 1, 72
Bass, 34, 355.0, 1, 79
Drums, 44, 355.0, 0.333, 60
Drums, 44, 355.666, 0.333, 73
Bar~89@356, Swing, 4/4, A, 140
Bass, 35, 356.0, 1, 68
Drums, 44, 356.0, 1, 63
Piano, 59, 356.0, 1, 61
Piano, 53, 356.0, 1, 70
Piano, 67, 356.0, 1, 74
Piano, 61, 356.0, 1, 70
Bass, 31, 357.0, 1, 60
Drums, 44, 357.0, 0.333, 75
Drums, 44, 357.666, 0.333, 72
Bass, 43, 358.0, 1, 72
Drums, 44, 358.0, 1, 80
Piano, 59, 358.0, 1, 64
Piano, 53, 358.0, 1, 68
Piano, 79, 358.0, 1, 78
Piano, 73, 358.0, 1, 67
Piano, 67, 358.0, 1, 61
Piano, 62, 358.0, 1, 67
Bass, 50, 359.0, 1, 74
Drums, 44, 359.0, 0.333, 60
Drums, 44, 359.666, 0.333, 63
Bar~90@360, Swing, 4/4, A, 140
Bass, 36, 360.0, 1, 64
Drums, 44, 360.0, 0.333, 66
Piano, 57, 360.0, 1, 64
Piano, 52, 360.0, 1, 60
Piano, 65, 360.0, 1, 61
Piano, 60, 360.0, 1, 64
Drums, 44, 360.666, 0.333, 79
Bass, 33, 361.0, 1, 72
Drums, 44, 361.0, 0.333, 62
Drums, 44, 361.666, 0.333, 76
Bass, 36, 362.0, 1, 72
Drums, 44, 362.0, 1, 76
Piano, 57, 362.0, 1, 71
Piano, 52, 362.0, 1, 77
Piano, 65, 362.0, 1, 77
Piano, 60, 362.0, 1, 60
Bass, 29, 363.0, 1, 67
Drums, 44, 363.0, 0.333, 77
Drums, 36, 363.666, 0.333, 78
Drums, 44, 363.666, 0.333, 71
Bar~91@364, Swing, 4/4, A, 140
Bass, 28, 364.0, 1, 75
Drums, 44, 364.0, 1, 67
Piano, 58, 364.0, 1, 72
Piano, 55, 364.0, 1, 62
Piano, 50, 364.0, 1, 74
Piano, 64, 364.0, 1, 61
Bass, 36, 365.0, 1, 60
Drums, 44, 365.0, 1, 68
Bass, 37, 366.0, 1, 71
Drums, 36, 366.0, 1, 61
Drums, 44, 366.0, 1, 64
Piano, 58, 366.0, 1, 70
Piano, 55, 366.0, 1, 63
Piano, 49, 366.0, 1, 68
Piano, 64, 366.0, 1, 80
Bass, 40, 367.0, 1, 60
Drums, 44, 367.0, 0.333, 80
Drums, 36, 367.666, 0.333, 63
Drums, 44, 367.666, 0.333, 65
Bar~92@368, Swing, 4/4, A, 140
Bass, 45, 368.0, 1, 72
Drums, 44, 368.0, 1, 70
Piano, 53, 368.0, 1, 66
Piano, 79, 368.0, 1, 79
Piano, 74, 368.0, 1, 68
Piano, 67, 368.0, 1, 80
Piano, 64, 368.0, 1, 66
Piano, 60, 368.0, 1, 68
Bass, 50, 369.0, 1, 60
Drums, 44, 369.0, 0.333, 71
Drums, 44, 369.666, 0.333, 71
Bass, 50, 370.0, 1, 71
Drums, 44, 370.0, 1, 76
Bass, 48, 371.0, 1, 66
Drums, 44, 371.0, 0.333, 74
Drums, 44, 371.666, 0.333, 63
Bar~93@372, Swing, 4/4, A, 140
Bass, 44, 372.0, 1, 68
Drums, 36, 372.0, 1, 66
Drums, 44, 372.0, 1, 80
Bass, 49, 373.0, 1, 77
Drums, 44, 373.0, 0.333, 79
Piano, 59, 373.0, 1, 78
Piano, 53, 373.0, 1, 69
Piano, 69, 373.0, 1, 73
Piano, 62, 373.0, 1, 64
Drums, 44, 373.666, 0.333, 79
Bass, 37, 374.0, 1, 72
Drums, 44, 374.0, 1, 79
Piano, 59, 374.0, 1, 70
Piano, 53, 374.0, 1, 65
Piano, 69, 374.0, 1, 62
Piano, 62, 374.0, 1, 73
Bass, 41, 375.0, 1, 75
Drums, 44, 375.0, 0.333, 79
Drums, 44, 375.666, 0.333, 71
Bar~94@376, Swing, 4/4, A, 140
Bass, 28, 376.0, 1, 67
Drums, 44, 376.0, 1, 80
Piano, 57, 376.0, 1, 80
Piano, 52, 376.0, 1, 74
Piano, 48, 376.0, 1, 65
Piano, 60, 376.0, 1, 62
Drums, 36, 376.666, 0.333, 70
Bass, 31, 377.0, 1, 78
Drums, 44, 377.0, 0.333, 64
Drums, 44, 377.666, 0.333, 74
Bass, 38, 378.0, 1, 76
Drums, 44, 378.0, 1, 64
Bass, 31, 379.0, 1, 72
Drums, 44, 379.0, 0.333, 71
Drums, 44, 379.666, 0.333, 63
Bar~95@380, Swing, 4/4, A, 140
Bass, 31, 380.0, 1, 60
Drums, 44, 380.0, 1, 68
Bass, 34, 381.0, 1, 69
Drums, 44, 381.0, 0.333, 61
Piano, 57, 381.0, 1, 75
Piano, 52, 381.0, 1, 69
Piano, 48, 381.0, 1, 78
Piano, 60, 381.0, 1, 70
Drums, 44, 381.666, 0.333, 77
Bass, 35, 382.0, 1, 64
Drums, 44, 382.0, 1, 62
Piano, 57, 382.0, 1, 76
Piano, 53, 382.0, 1, 73
Piano, 47, 382.0, 1, 75
Piano, 62, 382.0, 1, 74
Bass, 39, 383.0, 1, 62
Drums, 44, 383.0, 0.333, 69
Drums, 44, 383.666, 0.333, 77
Bar~96@384, Swing, 4/4, A, 140
Bass, 40, 384.0, 1, 73
Drums, 44, 384.0, 1, 79
Piano, 57, 384.0, 1, 66
Piano, 52, 384.0, 1, 61
Piano, 48, 384.0, 1, 70
Piano, 60, 384.0, 1, 60
Bass, 33, 385.0, 1, 62
Drums, 44, 385.0, 0.333, 61
Drums, 44, 385.666, 0.333, 60
Bass, 31, 386.0, 1, 77
Drums, 36, 386.0, 1, 72
Drums, 44, 386.0, 1, 75
Bass, 33, 387.0, 1, 73
Drums, 44, 387.0, 0.333, 67
Drums, 44, 387.666, 0.333, 68
Bar~97@388, Swing, 4/4, A, 140
Bass, 38, 388.0, 1, 78
Drums, 44, 388.0, 1, 66
Piano, 59, 388.0, 1, 68
Piano, 53, 388.0, 1, 77
Piano, 67, 388.0, 1, 73
Piano, 61, 388.0, 1, 78
Bass, 31, 389.0, 1, 70
Drums, 44, 389.0, 0.333, 71
Drums, 44, 389.666, 0.333, 62
Bass, 31, 390.0, 1, 65
Drums, 44, 390.0, 1, 63
Drums, 36, 390.666, 0.333, 78
Bass, 35, 391.0, 1, 70
Drums, 44, 391.0, 0.333, 80
Drums, 36, 391.666, 0.333, 73
Drums, 44, 391.666, 0.333, 78
Bar~98@392, Swing, 4/4, A, 140
Bass, 36, 392.0, 1, 72
Drums, 36, 392.0, 1, 62
Drums, 44, 392.0, 1, 80
Bass, 44, 393.0, 1, 76
Drums, 44, 393.0, 0.333, 60
Drums, 44, 393.666, 0.333, 79
Bass, 45, 394.0, 1, 71
Drums, 44, 394.0, 1, 80
Bass, 35, 395.0, 1, 71
Drums, 44, 395.0, 0.333, 68
Drums, 44, 395.666, 0.333, 76
Bar~99@396, Swing, 4/4, A, 140
Bass, 34, 396.0, 1, 80
Drums, 44, 396.0, 1, 69
Piano, 58, 396.0, 1, 74
Piano, 55, 396.0, 1, 70
Piano, 50, 396.0, 1, 62
Piano, 64, 396.0, 1, 63
Bass, 40, 397.0, 1, 70
Drums, 44, 397.0, 0.333, 65
Drums, 44, 397.666, 0.333, 80
Bass, 37, 398.0, 1, 64
Drums, 44, 398.0, 1, 80
Drums, 36, 398.666, 0.333, 79
Bass, 40, 399.0, 1, 78
Drums, 44, 399.0, 0.333, 64
Piano, 58, 399.0, 1, 78
Piano, 55, 399.0, 1, 79
Piano, 49, 399.0, 1, 78
Piano, 64, 399.0, 1, 79
Drums, 36, 399.666, 0.333, 62
Drums, 44, 399.666, 0.333, 73
Bar~100@400, Swing, 4/4, A, 140
Bass, 28, 400.0, 1, 79
Drums, 44, 400.0, 1, 62
Piano, 55, 400.0, 1, 64
Piano, 71, 400.0, 1, 75
Piano, 64, 400.0, 1, 62
Piano, 60, 400.0, 1, 73
Bass, 35, 401.0, 1, 64
Drums, 44, 401.0, 0.333, 61
Drums, 44, 401.666, 0.333, 78
Bass, 36, 402.0, 1, 74
Drums, 44, 402.0, 1, 73
Bass, 43, 403.0, 1, 77
Drums, 44, 403.0, 0.333, 71
Drums, 44, 403.666, 0.333, 78
Bar~101@404, Swing, 4/4, A, 140
Bass, 45, 404.0, 1, 75
Drums, 44, 404.0, 1, 73
Bass, 49, 405.0, 1, 80
Drums, 44, 405.0, 0.333, 73
Drums, 44, 405.666, 0.333, 76
Bass, 50, 406.0, 1, 61
Drums, 44, 406.0, 1, 66
Piano, 76, 406.0, 1, 68
Piano, 71, 406.0, 1, 61
Piano, 66, 406.0, 1, 63
Piano, 60, 406.0, 1, 67
Bass, 57, 407.0, 1, 63
Drums, 44, 407.0, 1, 64
Drums, 36, 407.666, 0.333, 73
Bar~102@408, Swing, 4/4, A, 140
Bass, 41, 408.0, 1, 63
Drums, 44, 408.0, 1, 73
Drums, 36, 408.666, 0.333, 79
Bass, 38, 409.0, 1, 72
Drums, 40, 409.0, 1, 78
Drums, 44, 409.0, 0.333, 79
Drums, 44, 409.666, 0.333, 73
Bass, 38, 410.0, 1, 79
Drums, 44, 410.0, 1, 67
Piano, 55, 410.0, 1, 79
Piano, 53, 410.0, 1, 69
Piano, 48, 410.0, 1, 75
Piano, 64, 410.0, 1, 77
Bass, 33, 411.0, 1, 73
Drums, 44, 411.0, 1, 72
Drums, 36, 411.666, 0.333, 72
Bar~103@412, Swing, 4/4, A, 140
Bass, 32, 412.0, 1, 76
Drums, 44, 412.0, 1, 66
Piano, 59, 412.0, 1, 71
Piano, 76, 412.0, 1, 60
Piano, 70, 412.0, 1, 75
Piano, 65, 412.0, 1, 78
Drums, 36, 412.666, 0.333, 66
Bass, 34, 413.0, 1, 69
Drums, 44, 413.0, 1, 70
Bass, 37, 414.0, 1, 63
Drums, 44, 414.0, 1, 77
Bass, 32, 415.0, 1, 70
Drums, 44, 415.0, 0.333, 76
Drums, 36, 415.666, 0.333, 67
Drums, 44, 415.666, 0.333, 70
Bar~104@416, Swing, 4/4, A, 140
Bass, 31, 416.0, 1, 79
Drums, 44, 416.0, 1, 61
Piano, 59, 416.0, 1, 79
Piano, 52, 416.0, 1, 64
Piano, 69, 416.0, 1, 66
Piano, 62, 416.0, 1, 65
Bass, 35, 417.0, 1, 72
Drums, 44, 417.0, 0.333, 65
Drums, 44, 417.666, 0.333, 64
Bass, 36, 418.0, 1, 76
Drums, 44, 418.0, 1, 69
Bass, 31, 419.0, 1, 62
Drums, 44, 419.0, 0.333, 72
Drums, 44, 419.666, 0.333, 69
Bar~105@420, Swing, 4/4, A, 140
Bass, 43, 420.0, 1, 74
Drums, 44, 420.0, 1, 80
Piano, 59, 420.0, 1, 65
Piano, 53, 420.0, 1, 62
Piano, 67, 420.0, 1, 67
Piano, 61, 420.0, 1, 68
Bass, 50, 421.0, 1, 60
Drums, 44, 421.0, 0.333, 70
Drums, 44, 421.666, 0.333, 78
Bass, 31, 422.0, 1, 67
Drums, 44, 422.0, 1, 74
Bass, 35, 423.0, 1, 68
Drums, 44, 423.0, 0.333, 78
Drums, 44, 423.666, 0.333, 65
Bar~106@424, Swing, 4/4, A, 140
Bass, 36, 424.0, 1, 79
Drums, 44, 424.0, 1, 74
Bass, 33, 425.0, 1, 71
Drums, 44, 425.0, 0.333, 63
Drums, 44, 425.666, 0.333, 79
Bass, 29, 426.0, 1, 76
Drums, 44, 426.0, 1, 70
Bass, 36, 427.0, 1, 63
Drums, 44, 427.0, 0.333, 70
Drums, 44, 427.666, 0.333, 63
Bar~107@428, Swing, 4/4, A, 140
Bass, 34, 428.0, 1, 62
Drums, 44, 428.0, 1, 73
Piano, 58, 428.0, 1, 69
Piano, 55, 428.0, 1, 71
Piano, 50, 428.0, 1, 62
Piano, 64, 428.0, 1, 70
Bass, 38, 429.0, 1, 61
Drums, 44, 429.0, 1, 70
Drums, 36, 429.666, 0.333, 77
Bass, 45, 430.0, 1, 76
Drums, 36, 430.0, 0.333, 63
Drums, 44, 430.0, 1, 69
Drums, 36, 430.666, 0.333, 71
Bass, 37, 431.0, 1, 70
Drums, 44, 431.0, 1, 74
Piano, 55, 431.0, 1, 71
Piano, 82, 431.0, 1, 65
Piano, 76, 431.0, 1, 75
Piano, 70, 431.0, 1, 72
Piano, 64, 431.0, 1, 64
Piano, 61, 431.0, 1, 66
Bar~108@432, Swing, 4/4, A, 140
Bass, 36, 432.0, 1, 69
Drums, 36, 432.0, 1, 67
Drums, 44, 432.0, 1, 67
Piano, 55, 432.0, 1, 74
Piano, 69, 432.0, 1, 67
Piano, 64, 432.0, 1, 61
Piano, 60, 432.0, 1, 73
Bass, 40, 433.0, 1, 64
Drums, 44, 433.0, 0.333, 72
Drums, 44, 433.666, 0.333, 67
Bass, 36, 434.0, 1, 60
Drums, 44, 434.0, 1, 70
Piano, 55, 434.0, 1, 74
Piano, 69, 434.0, 1, 78
Piano, 64, 434.0, 1, 64
Piano, 60, 434.0, 1, 75
Bass, 33, 435.0, 1, 79
Drums, 44, 435.0, 0.333, 60
Drums, 44, 435.666, 0.333, 80
Bar~109@436, Swing, 4/4, A, 140
Bass, 33, 436.0, 1, 71
Drums, 36, 436.0, 1, 80
Drums, 44, 436.0, 1, 61
Bass, 36, 437.0, 1, 75
Drums, 44, 437.0, 0.333, 73
Drums, 44, 437.666, 0.333, 61
Bass, 38, 438.0, 1, 75
Drums, 44, 438.0, 1, 65
Piano, 74, 438.0, 1, 60
Piano, 69, 438.0, 1, 79
Piano, 66, 438.0, 1, 66
Piano, 60, 438.0, 1, 69
Bass, 45, 439.0, 1, 79
Drums, 44, 439.0, 0.333, 65
Drums, 44, 439.666, 0.333, 67
Bar~110@440, Swing, 4/4, A, 140
Bass, 45, 440.0, 1, 71
Drums, 44, 440.0, 1, 72
Bass, 48, 441.0, 1, 70
Drums, 44, 441.0, 0.333, 77
Drums, 44, 441.666, 0.333, 79
Bass, 50, 442.0, 1, 61
Drums, 44, 442.0, 1, 80
Piano, 53, 442.0, 1, 70
Piano, 81, 442.0, 1, 60
Piano, 74, 442.0, 1, 62
Piano, 69, 442.0, 1, 61
Piano, 64, 442.0, 1, 65
Piano, 60, 442.0, 1, 69
Bass, 45, 443.0, 1, 80
Drums, 44, 443.0, 0.333, 79
Drums, 44, 443.666, 0.333, 70
Bar~111@444, Swing, 4/4, A, 140
Bass, 43, 444.0, 1, 68
Drums, 44, 444.0, 1, 64
Piano, 59, 444.0, 1, 60
Piano, 57, 444.0, 1, 63
Piano, 53, 444.0, 1, 71
Piano, 79, 444.0, 1, 80
Piano, 74, 444.0, 1, 70
Piano, 67, 444.0, 1, 78
Piano, 64, 444.0, 1, 77
Bass, 38, 445.0, 1, 75
Drums, 44, 445.0, 0.333, 66
Drums, 44, 445.666, 0.333, 66
Bass, 38, 446.0, 1, 62
Drums, 44, 446.0, 1, 68
Piano, 59, 446.0, 1, 62
Piano, 53, 446.0, 1, 65
Piano, 69, 446.0, 1, 75
Piano, 64, 446.0, 1, 76
Bass, 43, 447.0, 1, 69
Drums, 44, 447.0, 0.333, 66
Drums, 44, 447.666, 0.333, 67
Bar~112@448, Swing, 4/4, A, 140
Bass, 31, 448.0, 1, 79
Drums, 44, 448.0, 1, 80
Piano, 58, 448.0, 1, 80
Piano, 72, 448.0, 1, 79
Piano, 69, 448.0, 1, 61
Piano, 65, 448.0, 1, 69
Bass, 38, 449.0, 1, 67
Drums, 44, 449.0, 0.333, 78
Drums, 44, 449.666, 0.333, 61
Bass, 38, 450.0, 1, 72
Drums, 44, 450.0, 1, 77
Bass, 31, 451.0, 1, 71
Drums, 44, 451.0, 0.333, 68
Drums, 44, 451.666, 0.333, 64
Bar~113@452, Swing, 4/4, A, 140
Bass, 30, 452.0, 1, 68
Drums, 44, 452.0, 1, 75
Bass, 37, 453.0, 1, 74
Drums, 44, 453.0, 0.333, 61
Drums, 44, 453.666, 0.333, 64
Bass, 34, 454.0, 1, 70
Drums, 44, 454.0, 1, 78
Piano, 58, 454.0, 1, 71
Piano, 56, 454.0, 1, 74
Piano, 52, 454.0, 1, 75
Piano, 78, 454.0, 1, 62
Piano, 73, 454.0, 1, 76
Piano, 66, 454.0, 1, 68
Piano, 63, 454.0, 1, 72
Drums, 36, 454.666, 0.333, 66
Bass, 30, 455.0, 1, 79
Drums, 44, 455.0, 1, 64
Bar~114@456, Swing, 4/4, A, 140
Bass, 41, 456.0, 1, 63
Drums, 44, 456.0, 1, 63
Bass, 30, 457.0, 1, 80
Drums, 44, 457.0, 0.333, 73
Drums, 44, 457.666, 0.333, 67
Bass, 29, 458.0, 1, 78
Drums, 44, 458.0, 1, 69
Piano, 57, 458.0, 1, 73
Piano, 52, 458.0, 1, 76
Piano, 67, 458.0, 1, 60
Piano, 62, 458.0, 1, 70
Drums, 36, 458.666, 0.333, 80
Bass, 31, 459.0, 1, 62
Drums, 44, 459.0, 0.333, 75
Drums, 36, 459.666, 0.333, 70
Drums, 44, 459.666, 0.333, 77
Bar~115@460, Swing, 4/4, A, 140
Bass, 35, 460.0, 1, 75
Drums, 36, 460.0, 1, 61
Drums, 44, 460.0, 1, 69
Piano, 57, 460.0, 1, 66
Piano, 51, 460.0, 1, 76
Piano, 66, 460.0, 1, 70
Piano, 61, 460.0, 1, 79
Bass, 42, 461.0, 1, 68
Drums, 44, 461.0, 0.333, 65
Drums, 44, 461.666, 0.333, 65
Bass, 30, 462.0, 1, 63
Drums, 44, 462.0, 1, 75
Bass, 35, 463.0, 1, 79
Drums, 44, 463.0, 0.333, 75
Drums, 44, 463.666, 0.333, 63
Bar~116@464, Swing, 4/4, A, 140
Bass, 35, 464.0, 1, 79
Drums, 36, 464.0, 1, 68
Drums, 44, 464.0, 1, 77
Piano, 55, 464.0, 1, 77
Piano, 81, 464.0, 1, 80
Piano, 76, 464.0, 1, 73
Piano, 69, 464.0, 1, 63
Piano, 66, 464.0, 1, 63
Piano, 62, 464.0, 1, 78
Bass, 42, 465.0, 1, 80
Drums, 44, 465.0, 0.333, 79
Drums, 44, 465.666, 0.333, 77
Bass, 43, 466.0, 1, 71
Drums, 44, 466.0, 1, 64
Drums, 36, 466.666, 0.333, 62
Bass, 47, 467.0, 1, 69
Drums, 44, 467.0, 0.333, 80
Drums, 44, 467.666, 0.333, 68
Bar~117@468, Swing, 4/4, A, 140
Bass, 37, 468.0, 1, 65
Drums, 44, 468.0, 1, 69
Piano, 59, 468.0, 1, 69
Piano, 55, 468.0, 1, 76
Piano, 81, 468.0, 1, 66
Piano, 76, 468.0, 1, 76
Piano, 69, 468.0, 1, 78
Piano, 66, 468.0, 1, 70
Piano, 61, 468.0, 1, 77
Bass, 40, 469.0, 1, 69
Drums, 44, 469.0, 0.333, 63
Drums, 44, 469.666, 0.333, 77
Bass, 37, 470.0, 1, 69
Drums, 44, 470.0, 1, 79
Drums, 36, 470.666, 0.333, 71
Bass, 33, 471.0, 1, 80
Drums, 44, 471.0, 0.333, 67
Drums, 36, 471.666, 0.333, 80
Drums, 44, 471.666, 0.333, 79
Bar~118@472, Swing, 4/4, A, 140
Bass, 30, 472.0, 1, 63
Drums, 44, 472.0, 1, 68
Piano, 54, 472.0, 1, 62
Piano, 69, 472.0, 1, 78
Piano, 64, 472.0, 1, 79
Piano, 60, 472.0, 1, 74
Drums, 36, 472.666, 0.333, 68
Bass, 38, 473.0, 1, 63
Drums, 44, 473.0, 0.333, 61
Piano, 54, 473.0, 1, 64
Piano, 69, 473.0, 1, 63
Piano, 64, 473.0, 1, 73
Piano, 60, 473.0, 1, 74
Drums, 36, 473.666, 0.333, 67
Drums, 44, 473.666, 0.333, 70
Bass, 38, 474.0, 1, 60
Drums, 44, 474.0, 1, 76
Piano, 54, 474.0, 1, 74
Piano, 69, 474.0, 1, 68
Piano, 64, 474.0, 1, 80
Piano, 60, 474.0, 1, 72
Bass, 33, 475.0, 1, 61
Drums, 44, 475.0, 0.333, 72
Piano, 76, 475.0, 1, 80
Piano, 69, 475.0, 1, 67
Piano, 66, 475.0, 1, 71
Piano, 60, 475.0, 1, 61
Drums, 44, 475.666, 0.333, 67
Bar~119@476, Swing, 4/4, A, 140
Bass, 43, 476.0, 1, 77
Drums, 44, 476.0, 1, 71
Piano, 59, 476.0, 1, 61
Piano, 53, 476.0, 1, 75
Piano, 79, 476.0, 1, 67
Piano, 74, 476.0, 1, 70
Piano, 67, 476.0, 1, 75
Piano, 63, 476.0, 1, 62
Drums, 40, 476.666, 0.333, 66
Bass, 47, 477.0, 1, 73
Drums, 44, 477.0, 0.333, 69
Drums, 44, 477.666, 0.333, 72
Bass, 47, 478.0, 1, 80
Drums, 44, 478.0, 1, 73
Bass, 51, 479.0, 1, 74
Drums, 44, 479.0, 0.333, 75
Drums, 36, 479.666, 0.333, 80
Drums, 44, 479.666, 0.333, 66
Bar~120@480, Swing, 4/4, A, 140
Bass, 40, 480.0, 1, 73
Drums, 44, 480.0, 1, 66
Piano, 59, 480.0, 1, 69
Piano, 52, 480.0, 1, 69
Piano, 79, 480.0, 1, 68
Piano, 72, 480.0, 1, 79
Piano, 67, 480.0, 1, 73
Bass, 36, 481.0, 1, 76
Drums, 44, 481.0, 0.333, 79
Drums, 44, 481.666, 0.333, 64
Bass, 36, 482.0, 1, 73
Drums, 44, 482.0, 1, 76
Bass, 32, 483.0, 1, 78
Drums, 44, 483.0, 0.333, 80
Drums, 44, 483.666, 0.333, 67
Bar~121@484, Swing, 4/4, A, 140
Bass, 31, 484.0, 1, 74
Drums, 36, 484.0, 1, 79
Drums, 44, 484.0, 1, 61
Bass, 35, 485.0, 1, 74
Drums, 44, 485.0, 0.333, 73
Piano, 59, 485.0, 1, 74
Piano, 53, 485.0, 1, 77
Piano, 79, 485.0, 1, 64
Piano, 73, 485.0, 1, 74
Piano, 67, 485.0, 1, 79
Piano, 62, 485.0, 1, 61
Drums, 44, 485.666, 0.333, 68
Bass, 35, 486.0, 1, 80
Drums, 44, 486.0, 1, 69
Piano, 59, 486.0, 1, 78
Piano, 53, 486.0, 1, 69
Piano, 79, 486.0, 1, 63
Piano, 73, 486.0, 1, 62
Piano, 67, 486.0, 1, 70
Piano, 62, 486.0, 1, 71
Bass, 31, 487.0, 1, 79
Drums, 44, 487.0, 0.333, 67
Drums, 44, 487.666, 0.333, 60
Bar~122@488, Swing, 4/4, A, 140
Bass, 29, 488.0, 1, 69
Drums, 44, 488.0, 1, 67
Piano, 57, 488.0, 1, 71
Piano, 72, 488.0, 1, 69
Piano, 65, 488.0, 1, 79
Piano, 64, 488.0, 1, 63
Drums, 36, 488.666, 0.333, 62
Bass, 36, 489.0, 1, 60
Drums, 44, 489.0, 0.333, 80
Drums, 44, 489.666, 0.333, 70
Bass, 36, 490.0, 1, 62
Drums, 44, 490.0, 1, 62
Bass, 42, 491.0, 1, 66
Drums, 44, 491.0, 0.333, 75
Drums, 44, 491.666, 0.333, 71
Bar~123@492, Swing, 4/4, A, 140
Bass, 43, 492.0, 1, 66
Drums, 44, 492.0, 1, 63
Bass, 40, 493.0, 1, 73
Drums, 44, 493.0, 0.333, 72
Piano, 58, 493.0, 1, 72
Piano, 55, 493.0, 1, 78
Piano, 50, 493.0, 1, 63
Piano, 64, 493.0, 1, 69
Drums, 44, 493.666, 0.333, 69
Bass, 28, 494.0, 1, 66
Drums, 44, 494.0, 1, 68
Piano, 58, 494.0, 1, 69
Piano, 55, 494.0, 1, 78
Piano, 49, 494.0, 1, 73
Piano, 64, 494.0, 1, 63
Bass, 34, 495.0, 1, 67
Drums, 44, 495.0, 0.333, 69
Drums, 44, 495.666, 0.333, 77
Bar~124@496, Swing, 4/4, A, 140
Bass, 38, 496.0, 1, 74
Drums, 36, 496.0, 1, 77
Drums, 44, 496.0, 1, 80
Piano, 53, 496.0, 1, 65
Piano, 79, 496.0, 1, 65
Piano, 74, 496.0, 1, 65
Piano, 67, 496.0, 1, 72
Piano, 64, 496.0, 1, 62
Piano, 60, 496.0, 1, 63
Bass, 36, 497.0, 1, 77
Drums, 44, 497.0, 1, 69
Bass, 29, 498.0, 1, 65
Drums, 36, 498.0, 1, 70
Drums, 44, 498.0, 1, 64
Bass, 36, 499.0, 1, 68
Drums, 44, 499.0, 0.333, 63
Drums, 36, 499.666, 0.333, 67
Drums, 44, 499.666, 0.333, 71
Bar~125@500, Swing, 4/4, A, 140
Bass, 37, 500.0, 1, 66
Drums, 44, 500.0, 1, 65
Bass, 41, 501.0, 1, 63
Drums, 36, 501.0, 1, 74
Drums, 44, 501.0, 0.333, 73
Drums, 44, 501.666, 0.333, 62
Bass, 45, 502.0, 1, 71
Drums, 44, 502.0, 1, 60
Piano, 59, 502.0, 1, 77
Piano, 73, 502.0, 1, 73
Piano, 69, 502.0, 1, 75
Piano, 65, 502.0, 1, 60
Drums, 36, 502.666, 0.333, 75
Bass, 41, 503.0, 1, 64
Drums, 44, 503.0, 0.333, 69
Drums, 44, 503.666, 0.333, 68
Bar~126@504, Swing, 4/4, A, 140
Bass, 36, 504.0, 1, 69
Drums, 44, 504.0, 1, 70
Bass, 36, 505.0, 1, 76
Drums, 44, 505.0, 0.333, 69
Drums, 44, 505.666, 0.333, 80
Bass, 35, 506.0, 1, 80
Drums, 44, 506.0, 1, 71
Bass, 31, 507.0, 1, 68
Drums, 36, 507.0, 1, 69
Drums, 44, 507.0, 0.333, 69
Drums, 44, 507.666, 0.333, 80
Bar~127@508, Swing, 4/4, A, 140
Bass, 28, 508.0, 1, 74
Drums, 44, 508.0, 1, 72
Piano, 52, 508.0, 1, 69
Piano, 72, 508.0, 1, 62
Piano, 69, 508.0, 1, 78
Piano, 67, 508.0, 1, 68
Piano, 60, 508.0, 1, 66
Drums, 36, 508.666, 0.333, 72
Bass, 36, 509.0, 1, 65
Drums, 44, 509.0, 0.333, 78
Piano, 57, 509.0, 1, 69
Piano, 52, 509.0, 1, 63
Piano, 48, 509.0, 1, 67
Piano, 60, 509.0, 1, 80
Drums, 44, 509.666, 0.333, 78
Bass, 36, 510.0, 1, 64
Piano, 52, 510.0, 1, 80
Piano, 72, 510.0, 1, 69
Piano, 69, 510.0, 1, 79
