kern2csv4playerString: Bar~0@0, Swing, 4/4, A, 140
Piano, 69, 66.0, 1, 68
Piano, 65, 66.0, 1, 60
Bass, 38, 67.0, 1, 72
Drums, 44, 67.0, 0.333, 61
Drums, 44, 67.666, 0.333, 63
Bar~17@68, Swing, 4/4, A, 140
Bass, 37, 68.0, 1, 71
Drums, 44, 68.0, 1, 69
Piano, 58, 68.0, 1, 65
Piano, 52, 68.0, 1, 76
Piano, 69, 68.0, 1, 77
Piano, 62, 68.0, 1, 76
Bass, 41, 69.0, 1, 63
Drums, 44, 69.0, 0.333, 70
Drums, 44, 69.666, 0.333, 73
Bass, 42, 70.0, 1, 65
Drums, 44, 70.0, 0.333, 63
Drums, 44, 70.666, 0.333, 66
Bass, 37, 71.0, 1, 60
Drums, 44, 71.0, 0.333, 80
Drums, 44, 71.666, 0.333, 73
Bar~18@72, Swing, 4/4, A, 140
Bass, 36, 72.0, 1, 66
Drums, 44, 72.0, 1, 72
Piano, 57, 72.0, 1, 62
Piano, 72, 72.0, 1, 80
Piano, 67, 72.0, 1, 76
Piano, 64, 72.0, 1, 63
Drums, 40, 72.666, 0.333, 67
Bass, 41, 73.0, 1, 71
Drums, 44, 73.0, 0.333, 79
Drums, 44, 73.666, 0.333, 70
Bass, 36, 74.0, 1, 74
Drums, 44, 74.0, 1, 76
Piano, 57, 74.0, 1, 75
Piano, 84, 74.0, 1, 79
Piano, 77, 74.0, 1, 73
Piano, 72, 74.0, 1, 65
Piano, 67, 74.0, 1, 79
Piano, 64, 74.0, 1, 62
Bass, 31, 75.0, 1, 77
Drums, 44, 75.0, 0.333, 76
Piano, 57, 75.0, 1, 69
Piano, 84, 75.0, 1, 61
Piano, 77, 75.0, 1, 68
Piano, 72, 75.0, 1, 75
Piano, 67, 75.0, 1, 65
Piano, 64, 75.0, 1, 69
Drums, 44, 75.666, 0.333, 73
Bar~19@76, Swing, 4/4, A, 140
Bass, 30, 76.0, 1, 66
Drums, 36, 76.0, 1, 76
Drums, 44, 76.0, 1, 67
Piano, 57, 76.0, 1, 78
Piano, 73, 76.0, 1, 73
Piano, 66, 76.0, 1, 65
Piano, 63, 76.0, 1, 72
Bass, 38, 77.0, 1, 74
Drums, 36, 77.0, 1, 62
Drums, 44, 77.0, 0.333, 79
Drums, 44, 77.666, 0.333, 74
Bass, 39, 78.0, 1, 73
Drums, 44, 78.0, 0.333, 80
Drums, 44, 78.666, 0.333, 77
Bass, 40, 79.0, 1, 72
Drums, 44, 79.0, 0.333, 75
Drums, 36, 79.666, 0.333, 61
Drums, 44, 79.666, 0.333, 60
Bar~20@80, Swing, 4/4, A, 140
Bass, 40, 80.0, 1, 61
Drums, 36, 80.0, 1, 68
Drums, 44, 80.0, 1, 76
Bass, 35, 81.0, 1, 68
Drums, 44, 81.0, 0.333, 63
Drums, 40, 81.666, 0.333, 74
Drums, 44, 81.666, 0.333, 75
Bass, 47, 82.0, 1, 67
Drums, 44, 82.0, 1, 64
Bass, 40, 83.0, 1, 65
Drums, 44, 83.0, 0.333, 61
Drums, 44, 83.666, 0.333, 70
Bar~21@84, Swing, 4/4, A, 140
Bass, 45, 84.0, 1, 63
Drums, 36, 84.0, 1, 63
Drums, 44, 84.0, 1, 64
Bass, 38, 85.0, 1, 73
Drums, 44, 85.0, 0.333, 67
Drums, 40, 85.666, 0.333, 62
Drums, 44, 85.666, 0.333, 64
Bass, 37, 86.0, 1, 78
Drums, 44, 86.0, 1, 78
Piano, 55, 86.0, 1, 61
Piano, 71, 86.0, 1, 77
Piano, 66, 86.0, 1, 78
Piano, 61, 86.0, 1, 68
Bass, 31, 87.0, 1, 73
Drums, 44, 87.0, 0.333, 72
Piano, 59, 87.0, 1, 78
Piano, 55, 87.0, 1, 72
Piano, 81, 87.0, 1, 65
Piano, 76, 87.0, 1, 78
Piano, 69, 87.0, 1, 66
Piano, 66, 87.0, 1, 62
Piano, 61, 87.0, 1, 65
Drums, 44, 87.666, 0.333, 78
Bar~22@88, Swing, 4/4, A, 140
Bass, 30, 88.0, 1, 71
Drums, 36, 88.0, 1, 68
Bass, 33, 89.0, 1, 62
Drums, 44, 89.0, 0.333, 77
Drums, 44, 89.666, 0.333, 77
Bass, 38, 90.0, 1, 62
Drums, 44, 90.0, 1, 77
Piano, 54, 90.0, 1, 74
Piano, 71, 90.0, 1, 78
Piano, 64, 90.0, 1, 69
Piano, 60, 90.0, 1, 75
Bass, 32, 91.0, 1, 72
Drums, 44, 91.0, 0.333, 71
Drums, 44, 91.666, 0.333, 76
Bar~23@92, Swing, 4/4, A, 140
Bass, 31, 92.0, 1, 68
Drums, 44, 92.0, 1, 63
Bass, 39, 93.0, 1, 75
Drums, 44, 93.0, 0.333, 65
Piano, 59, 93.0, 1, 62
Piano, 53, 93.0, 1, 75
Piano, 67, 93.0, 1, 63
Piano, 63, 93.0, 1, 70
Drums, 40, 93.666, 0.333, 72
Drums, 44, 93.666, 0.333, 79
Bass, 39, 94.0, 1, 76
Drums, 44, 94.0, 1, 60
Piano, 59, 94.0, 1, 73
Piano, 53, 94.0, 1, 66
Piano, 67, 94.0, 1, 67
Piano, 63, 94.0, 1, 65
Bass, 40, 95.0, 1, 77
